city_id,poi_id,name,longitude,latitude,city,country,poi_types
14121,203796,White Tower of Thessaloniki,22.948381,40.626396,Thessaloniki,Greece,"Architectural Buildings, Historic Sites, Tourist Attractions"
14121,313891,Hagia Sophia,22.9467,40.6328,Thessaloniki,Greece,"Religious Sites, Tourist Attractions"
14121,362166,Saint Dimitirios,22.9461,40.6344,Thessaloniki,Greece,"Religious Sites, Tourist Attractions"
14121,457336,Museum of Byzantine Culture,22.95482,40.624138,Thessaloniki,Greece,"Museums, Tourist Attractions"
14121,457381,Ataturk Museum,22.9543,40.635777,Thessaloniki,Greece,"Architectural Buildings, Historic Sites, Museums, Tourist Attractions"
14121,525921,Nasim,22.9412,40.632,Thessaloniki,Greece,"Bar / Pub, Food & Drink"
14121,528541,Taverna 1901,22.9374,40.6349,Thessaloniki,Greece,"Restaurants, Food & Drink"
14121,540671,Zoo,22.9694,40.6363,Thessaloniki,Greece,"Nature, Zoos / Aquariums"
14121,749116,Kaftanzoglio Stadium,22.967,40.6255,Thessaloniki,Greece,"Stadium, Sports"
14121,763206,Rotunda,22.952496,40.63322,Thessaloniki,Greece,"Architectural Buildings, Historic Sites, Tourist Attractions"
14121,814331,Agora Kapani,22.942,40.6358,Thessaloniki,Greece,Shopping
14121,814351,Syntrivani Square,22.9538,40.6324,Thessaloniki,Greece,"Historic Sites, Tourist Attractions"
14121,824586,Thessaloniki International Film Festival,22.9417276382,40.6327796334,Thessaloniki,Greece,"Event / Entertainment, Festival Area"
14121,824591,Megaro Mousikis Thessalonikis,22.9486,40.5982,Thessaloniki,Greece,"Event / Entertainment, Performing Arts Venue"
14121,824596,Kratiko Theatro Voreiou Ellados,22.9496,40.6266,Thessaloniki,Greece,"Event / Entertainment, Performing Arts Venue"
14121,824606,Diethnis Ekthesi Vivliou Thessaloniki,22.9538,40.6266,Thessaloniki,Greece,"Event / Entertainment, Festival Area"
14121,824651,Karnavali Neapolis,22.9442,40.6543,Thessaloniki,Greece,"Event / Entertainment, Festival Area"
14121,824696,Dimitria Festival,22.9366,40.6341,Thessaloniki,Greece,"Event / Entertainment, Festival Area"
14121,824711,Philoxenia,22.9558,40.6277,Thessaloniki,Greece,"Event / Entertainment, Festival Area"
14121,828051,Cinema Museum,22.9462,40.6345,Thessaloniki,Greece,"Museums, Tourist Attractions"
14121,828586,Jewish Museum of Thessaloniki,22.939552,40.634983,Thessaloniki,Greece,"Museums, Tourist Attractions"
14121,828821,Navarinou Square,22.9488,40.6308,Thessaloniki,Greece,"Boardwalk / Promenade / Street, Tourist Attractions"
14121,828891,Odeon,22.9429301361,40.633438868,Thessaloniki,Greece,"Event / Entertainment, Cinema"
14121,829491,Sports Museum,22.9432,40.6346,Thessaloniki,Greece,"Museums, Tourist Attractions"
14121,829746,Dimotiki Pinakothiki Thessalonikis,22.9544,40.5991,Thessaloniki,Greece,"Museums, Tourist Attractions"
14121,861216,Kamara,22.9518,40.6322,Thessaloniki,Greece,"Historic Sites, Tourist Attractions"
14121,889409,To Mikraki,22.941818,40.63176,Thessaloniki,Greece,"Restaurants, Food & Drink"
14121,922517,Archaeological Museum of Thessaloniki,22.953693,40.62536,Thessaloniki,Greece,"Museums, Tourist Attractions"
14121,926071,Modiano Market,22.9404831931,40.6341336045,Thessaloniki,Greece,"Outfit Shops, Shopping"
14121,938330,Eptapyrgio Castle,22.959663,40.640778,Thessaloniki,Greece,"Architectural Buildings, Historic Sites, Palaces / Castles, Tourist Attractions"
14121,1065996,Nautical Club of Thessaloniki,22.9424,40.5876,Thessaloniki,Greece,"Stadium, Sports"
14121,1069854,Biological street market of Kalamaria,22.954,40.5906,Thessaloniki,Greece,Shopping
14121,1075140,Fly a Kite Shrove Monday,22.9661,40.6375,Thessaloniki,Greece,"Event / Entertainment, Festival Area"
14121,1089610,Forest Theatre of Thessaloniki,22.9655,40.6383,Thessaloniki,Greece,"Event / Entertainment, Performing Arts Venue"
14121,1089900,Palia Paralia,22.9438,40.6298,Thessaloniki,Greece,"Boardwalk / Promenade / Street, Tourist Attractions"
14121,1232636,Ancient Agora,22.9454,40.6374,Thessaloniki,Greece,"Historic Sites, Tourist Attractions"
14121,1232642,Church of Agia Aikaterini,22.94475,40.64351,Thessaloniki,Greece,"Architectural Buildings, Historic Sites, Religious Sites, Tourist Attractions"
14121,1232644,Church of Agioi Apostoloi,22.937853,40.642654,Thessaloniki,Greece,"Architectural Buildings, Religious Sites, Tourist Attractions"
14121,1232646,Church of Agios Athanasios,22.94861,40.63372,Thessaloniki,Greece,"Architectural Buildings, Religious Sites, Tourist Attractions"
14121,1232648,Agios Antonios,22.9552,40.639,Thessaloniki,Greece,"Religious Sites, Tourist Attractions"
14121,1232650,Agios Georgios,22.9525,40.6338,Thessaloniki,Greece,"Religious Sites, Tourist Attractions"
14121,1232654,Agios Menas,22.9395,40.6359,Thessaloniki,Greece,"Religious Sites, Tourist Attractions"
